latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.601,143.426,337.9,1.4,1.2,2018-10-05,00:30,T,86,6.0NRT,302.2,52.7,D
-15.573,143.78,341.8,1.2,1.1,2018-10-05,00:30,T,88,6.0NRT,307.3,42.7,D
-15.575,143.791,358.6,1.2,1.1,2018-10-05,00:30,T,99,6.0NRT,303.7,90.1,D
-15.58,143.825,334.8,1.2,1.1,2018-10-05,00:30,T,78,6.0NRT,303.3,31.4,D
-15.582,143.836,321.1,1.2,1.1,2018-10-05,00:30,T,24,6.0NRT,301,11.1,D
-15.417,142.747,351.4,1.4,1.2,2018-10-05,00:30,T,95,6.0NRT,302.7,85.3,D
-15.583,143.778,333.3,1.2,1.1,2018-10-05,00:30,T,80,6.0NRT,304.1,26.9,D
-15.427,142.746,327.6,1.4,1.2,2018-10-05,00:30,T,36,6.0NRT,303.4,20.6,D
-15.697,144.291,327.1,1.1,1.1,2018-10-05,00:30,T,73,6.0NRT,306,14.4,D
-15.699,144.301,324.5,1.1,1.1,2018-10-05,00:30,T,46,6.0NRT,305.2,9.7,D
-15.71,144.31,327.9,1.1,1.1,2018-10-05,00:30,T,73,6.0NRT,305.9,14.6,D
-15.712,144.321,325,1.1,1.1,2018-10-05,00:30,T,31,6.0NRT,306,10,D
-15.726,144.351,339.1,1.1,1.1,2018-10-05,00:30,T,87,6.0NRT,305.8,34.1,D
-15.389,142.227,328.7,1.5,1.2,2018-10-05,00:30,T,55,6.0NRT,305.1,20.1,D
-15.736,144.35,339.4,1.1,1.1,2018-10-05,00:30,T,87,6.0NRT,306.6,33.5,D
-15.738,144.36,326,1.1,1.1,2018-10-05,00:30,T,50,6.0NRT,304,12.3,D
-15.866,145.179,319.3,1.1,1,2018-10-05,00:30,T,41,6.0NRT,298.4,12.2,D
-15.867,145.189,320.2,1.1,1,2018-10-05,00:30,T,50,6.0NRT,296.9,13.8,D
-15.737,144.23,327.2,1.2,1.1,2018-10-05,00:30,T,57,6.0NRT,306.7,13.6,D
-15.738,144.241,328.1,1.2,1.1,2018-10-05,00:30,T,67,6.0NRT,307.1,14.7,D
-15.757,144.357,326.5,1.1,1.1,2018-10-05,00:30,T,51,6.0NRT,305.7,13.5,D
-15.773,144.185,334,1.2,1.1,2018-10-05,00:30,T,82,6.0NRT,305,26.8,D
-15.782,144.184,330.8,1.2,1.1,2018-10-05,00:30,T,78,6.0NRT,302.7,21.3,D
-15.841,144.37,338.3,1.1,1.1,2018-10-05,00:30,T,86,6.0NRT,303.2,36,D
-16.668,145.483,320,1,1,2018-10-05,00:30,T,47,6.0NRT,297.2,13.6,D
-16.673,145.453,335.9,1,1,2018-10-05,00:30,T,83,6.0NRT,298.9,31,D
-16.674,145.463,337.5,1,1,2018-10-05,00:30,T,85,6.0NRT,300.5,33.9,D
-16.349,142.747,330.9,1.4,1.2,2018-10-05,00:30,T,75,6.0NRT,304,23.2,D
-16.355,142.739,331.6,1.4,1.2,2018-10-05,00:30,T,67,6.0NRT,305.8,22.8,D
-16.377,142.748,325.8,1.4,1.2,2018-10-05,00:30,T,24,6.0NRT,306,11.9,D
-16.453,142.65,353.2,1.4,1.2,2018-10-05,00:30,T,96,6.0NRT,301.6,90.1,D
-16.464,142.648,342.9,1.4,1.2,2018-10-05,00:30,T,88,6.0NRT,302.4,56.9,D
-16.506,142.836,332,1.3,1.1,2018-10-05,00:30,T,70,6.0NRT,301.8,26.8,D
-16.514,142.822,336.1,1.3,1.1,2018-10-05,00:30,T,76,6.0NRT,302.5,32.6,D
-16.516,142.835,351,1.3,1.1,2018-10-05,00:30,T,94,6.0NRT,302.4,76.5,D
-16.526,142.833,339.7,1.3,1.1,2018-10-05,00:30,T,83,6.0NRT,302.8,44.4,D
-16.537,142.831,360.1,1.3,1.1,2018-10-05,00:30,T,100,6.0NRT,302.8,111.8,D
-15.465,135.821,322.2,4.6,2,2018-10-05,00:30,T,32,6.0NRT,296.8,81.4,D
-15.482,135.817,341.5,4.6,2,2018-10-05,00:30,T,91,6.0NRT,299.6,308.3,D
-15.472,135.855,321,4.5,2,2018-10-05,00:30,T,32,6.0NRT,297.7,74.3,D
-15.481,135.81,340.8,4.6,2,2018-10-05,00:30,T,90,6.0NRT,299.4,298.5,D
-15.49,135.851,324.7,4.5,2,2018-10-05,00:30,T,50,6.0NRT,299.8,99.6,D
-16.683,142.306,344,1.4,1.2,2018-10-05,00:30,T,89,6.0NRT,305,60.5,D
-16.694,142.304,356.3,1.4,1.2,2018-10-05,00:30,T,97,6.0NRT,303.4,107,D
-16.696,142.318,327.7,1.4,1.2,2018-10-05,00:30,T,69,6.0NRT,303.5,20.7,D
-17.326,145.383,321.8,1,1,2018-10-05,00:30,T,49,6.0NRT,300.6,14.5,N
-17.327,145.393,317.6,1,1,2018-10-05,00:30,T,30,6.0NRT,297.2,11.6,N
-10.135,150.038,316.4,1.1,1.1,2018-10-05,00:30,T,54,6.0NRT,300.1,9.9,D
-11.197,142.583,315.4,1.7,1.3,2018-10-05,00:30,T,53,6.0NRT,301.4,12.3,D
-11.208,142.582,316.5,1.7,1.3,2018-10-05,00:30,T,61,6.0NRT,301.2,15.2,D
-11.972,142.387,331.7,1.7,1.3,2018-10-05,00:30,T,64,6.0NRT,302.4,38,D
-11.969,142.381,324.7,1.7,1.3,2018-10-05,00:30,T,12,6.0NRT,302.3,20.3,D
-12.11,142.104,330,1.8,1.3,2018-10-05,00:30,T,75,6.0NRT,301.9,42,D
-12.108,142.115,326.7,1.8,1.3,2018-10-05,00:30,T,52,6.0NRT,302.7,31.3,D
-12.432,142.666,323.8,1.6,1.2,2018-10-05,00:30,T,70,6.0NRT,304.9,20.6,D
-12.504,142.203,323.4,1.7,1.3,2018-10-05,00:30,T,51,6.0NRT,306.7,12.3,D
-12.815,143.117,320,1.5,1.2,2018-10-05,00:30,T,57,6.0NRT,301.6,17.1,D
-12.835,142.881,320.6,1.5,1.2,2018-10-05,00:30,T,59,6.0NRT,304.1,15.6,D
-12.988,143.117,326.2,1.5,1.2,2018-10-05,00:30,T,68,6.0NRT,303.6,21.4,D
-13.001,143.128,321.9,1.5,1.2,2018-10-05,00:30,T,46,6.0NRT,305,13.6,D
-13.003,143.141,321.7,1.5,1.2,2018-10-05,00:30,T,45,6.0NRT,304.4,14.5,D
-12.994,142.726,340.9,1.6,1.2,2018-10-05,00:30,T,87,6.0NRT,306.8,57,D
-12.997,142.74,361.2,1.6,1.2,2018-10-05,00:30,T,100,6.0NRT,308.7,141.9,D
-12.999,142.754,328.3,1.6,1.2,2018-10-05,00:30,T,42,6.0NRT,307.4,21.5,D
-13.062,143.139,327.2,1.5,1.2,2018-10-05,00:30,T,72,6.0NRT,304.2,26.8,D
-13.073,143.137,327.4,1.5,1.2,2018-10-05,00:30,T,73,6.0NRT,303.1,27.6,D
-13.085,143.01,321.6,1.5,1.2,2018-10-05,00:30,T,32,6.0NRT,303.2,11.7,D
-13.143,141.884,330.8,1.8,1.3,2018-10-05,00:30,T,79,6.0NRT,302.1,45.7,D
-13.153,141.948,321.2,1.8,1.3,2018-10-05,00:30,T,48,6.0NRT,301.9,20.8,D
-12.286,136.528,321.6,4.7,2,2018-10-05,00:30,T,74,6.0NRT,299.1,92.6,D
-13.507,143.41,321.8,1.4,1.2,2018-10-05,00:30,T,61,6.0NRT,302.5,17.6,D
-12.285,136.521,319.6,4.7,2,2018-10-05,00:30,T,66,6.0NRT,299.3,71.7,D
-13.529,143.438,318.2,1.4,1.2,2018-10-05,00:30,T,49,6.0NRT,303.5,11.1,D
-13.599,143.414,319.4,1.4,1.2,2018-10-05,00:30,T,56,6.0NRT,300.7,16.6,D
-13.742,143.055,331.1,1.4,1.2,2018-10-05,00:30,T,49,6.0NRT,306.2,23.6,D
-14.673,145.461,315.8,1.1,1,2018-10-05,00:30,T,61,6.0NRT,304.9,11.7,D
-15.246,145.161,330.3,1.1,1,2018-10-05,00:30,T,77,6.0NRT,306.1,18.5,D
-15.409,144.159,330.6,1.2,1.1,2018-10-05,00:30,T,76,6.0NRT,306.3,20.8,D
-15.411,144.17,331.8,1.2,1.1,2018-10-05,00:30,T,77,6.0NRT,304.2,22.6,D
-15.105,142.044,345,1.6,1.2,2018-10-05,00:30,T,90,6.0NRT,301.6,77.2,D
-15.118,142.056,331.5,1.6,1.2,2018-10-05,00:30,T,73,6.0NRT,304.1,31.6,D
-15.609,144.899,326.1,1.1,1,2018-10-05,00:30,T,68,6.0NRT,305.7,12.3,D
-15.611,144.908,329,1.1,1,2018-10-05,00:30,T,71,6.0NRT,305.9,14.9,D
-15.62,144.907,368.4,1.1,1,2018-10-05,00:30,T,100,6.0NRT,309.9,109.4,D
-15.622,144.917,356.6,1.1,1,2018-10-05,00:30,T,98,6.0NRT,306.5,70.4,D
-15.169,142.086,330.2,1.6,1.2,2018-10-05,00:30,T,72,6.0NRT,304.6,24.3,D
-15.489,144.017,337.7,1.2,1.1,2018-10-05,00:30,T,52,6.0NRT,308.1,31.5,D
-15.629,144.905,350.4,1.1,1,2018-10-05,00:30,T,94,6.0NRT,304.1,56.4,D
-15.178,142.069,329.5,1.6,1.2,2018-10-05,00:30,T,73,6.0NRT,303.1,23.1,D
-15.498,144.015,347.1,1.2,1.1,2018-10-05,00:30,T,83,6.0NRT,305.2,56.5,D
-15.639,144.904,323.6,1.1,1,2018-10-05,00:30,T,58,6.0NRT,304,11,D
-15.501,143.97,326.9,1.2,1.1,2018-10-05,00:30,T,38,6.0NRT,306.5,11,D
-15.503,143.981,333.3,1.2,1.1,2018-10-05,00:30,T,62,6.0NRT,305.6,21.7,D
-15.504,143.992,339.2,1.2,1.1,2018-10-05,00:30,T,72,6.0NRT,304.4,36,D
-15.508,144.014,339,1.2,1.1,2018-10-05,00:30,T,83,6.0NRT,302.4,40.3,D
-15.495,143.868,337,1.2,1.1,2018-10-05,00:30,T,84,6.0NRT,309.3,25.8,D
-15.497,143.879,362.9,1.2,1.1,2018-10-05,00:30,T,100,6.0NRT,307.4,100,D
-15.511,143.968,333.2,1.2,1.1,2018-10-05,00:30,T,57,6.0NRT,305.9,23.5,D
-15.512,143.979,346.1,1.2,1.1,2018-10-05,00:30,T,84,6.0NRT,302.6,51.4,D
-15.211,142.063,333.6,1.6,1.2,2018-10-05,00:30,T,79,6.0NRT,305.9,30.3,D
-15.52,143.966,374.7,1.2,1.1,2018-10-05,00:30,T,100,6.0NRT,306.8,157.4,D
-15.522,143.977,344.1,1.2,1.1,2018-10-05,00:30,T,90,6.0NRT,300.2,51.1,D
-15.31,142.595,340.2,1.5,1.2,2018-10-05,00:30,T,84,6.0NRT,305.5,49.4,D
-15.53,143.965,353.9,1.2,1.1,2018-10-05,00:30,T,96,6.0NRT,300.8,78.2,D
-15.303,142.484,348.9,1.5,1.2,2018-10-05,00:30,T,93,6.0NRT,306.4,75.8,D
-15.305,142.498,337.8,1.5,1.2,2018-10-05,00:30,T,84,6.0NRT,306.9,41,D
-15.295,142.48,326.5,1.5,1.2,2018-10-05,00:30,T,63,6.0NRT,306.8,12.7,D
-15.297,142.493,344.7,1.5,1.2,2018-10-05,00:30,T,90,6.0NRT,307.8,62,D
