latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.994,142.223,328.4,1.4,1.2,2018-10-12,00:35,T,57,6.0NRT,309.7,16.1,D
-11.996,142.235,326.4,1.4,1.2,2018-10-12,00:35,T,46,6.0NRT,307.9,10.2,D
-12.002,142.228,334.4,1.4,1.2,2018-10-12,00:35,T,78,6.0NRT,309.6,25.5,D
-12.142,142.056,326.5,1.4,1.2,2018-10-12,00:35,T,61,6.0NRT,305.6,17.4,D
-12.162,142.183,334.4,1.4,1.2,2018-10-12,00:35,T,81,6.0NRT,309.9,28.2,D
-12.169,142.188,328.4,1.4,1.2,2018-10-12,00:35,T,71,6.0NRT,309.1,17.5,D
-12.184,142.147,325.1,1.4,1.2,2018-10-12,00:35,T,42,6.0NRT,306.8,10.6,D
-12.186,142.16,330.5,1.4,1.2,2018-10-12,00:35,T,65,6.0NRT,308.3,20.2,D
-12.19,142.185,340.9,1.4,1.2,2018-10-12,00:35,T,87,6.0NRT,308.3,46.9,D
-12.201,142.053,344.9,1.4,1.2,2018-10-12,00:35,T,90,6.0NRT,303.7,65,D
-12.203,142.066,357.3,1.4,1.2,2018-10-12,00:35,T,98,6.0NRT,304.9,108.5,D
-12.205,142.078,336.2,1.4,1.2,2018-10-12,00:35,T,83,6.0NRT,304.5,38.5,D
-12.207,142.091,340.8,1.4,1.2,2018-10-12,00:35,T,87,6.0NRT,306,49.7,D
-12.209,142.104,331.7,1.4,1.2,2018-10-12,00:35,T,77,6.0NRT,306.4,28.1,D
-12.419,142.779,329.7,1.3,1.1,2018-10-12,00:35,T,49,6.0NRT,309,18.8,D
-12.34,141.777,331.2,1.5,1.2,2018-10-12,00:35,T,66,6.0NRT,304.9,27,D
-12.86,142.907,322.6,1.2,1.1,2018-10-12,00:35,T,38,6.0NRT,306.4,8.3,D
-12.838,143.099,335.2,1.2,1.1,2018-10-12,00:35,T,81,6.0NRT,306.9,31.9,D
-12.836,143.088,338.7,1.2,1.1,2018-10-12,00:35,T,85,6.0NRT,306.5,38.5,D
-12.828,143.1,347.9,1.2,1.1,2018-10-12,00:35,T,92,6.0NRT,307.5,60,D
-12.827,143.089,332.9,1.2,1.1,2018-10-12,00:35,T,78,6.0NRT,303.6,26.7,D
-12.77,142.86,332,1.2,1.1,2018-10-12,00:35,T,64,6.0NRT,309.5,20.4,D
-11.205,142.61,318.9,1.3,1.1,2018-10-12,00:35,T,64,6.0NRT,297.7,12.4,D
-12.755,142.827,332.7,1.2,1.1,2018-10-12,00:35,T,45,6.0NRT,309.7,21.2,D
-12.753,142.816,330.9,1.2,1.1,2018-10-12,00:35,T,36,6.0NRT,308.5,18.9,D
-12.448,141.874,386.3,1.4,1.2,2018-10-12,00:35,T,100,6.0NRT,313.1,274.4,D
-12.446,141.861,366.5,1.4,1.2,2018-10-12,00:35,T,100,6.0NRT,311.1,147.4,D
-19.397,146.579,334.9,1.1,1.1,2018-10-12,00:40,T,64,6.0NRT,304.4,27,D
-19.423,146.628,327.2,1.1,1.1,2018-10-12,00:40,T,73,6.0NRT,295.3,21.7,D
-19.041,142.034,330.4,1.1,1.1,2018-10-12,00:40,T,76,6.0NRT,310.2,11.5,D
-25.499,144.36,335.8,1.1,1,2018-10-12,00:40,T,81,6.0NRT,308.6,26.2,D
-15.477,135.937,325.8,3.4,1.7,2018-10-12,00:40,T,40,6.0NRT,299.6,68,D
-17.138,137.875,321.2,2.3,1.5,2018-10-12,00:40,T,48,6.0NRT,301.3,25.5,D
-18.402,145.618,316.9,1,1,2018-10-12,00:40,T,0,6.0NRT,271.7,15.1,D
-17.143,137.845,321.7,2.3,1.5,2018-10-12,00:40,T,51,6.0NRT,301.1,23,D
-17.147,137.866,325.1,2.3,1.5,2018-10-12,00:40,T,66,6.0NRT,301.9,36.2,D
-17.301,137.982,356,2.2,1.4,2018-10-12,00:40,T,97,6.0NRT,300.8,211.1,D
-17.305,138.003,336.3,2.2,1.4,2018-10-12,00:40,T,82,6.0NRT,301.3,84.4,D
-17.31,137.958,325.6,2.2,1.4,2018-10-12,00:40,T,67,6.0NRT,297.6,39.9,D
