latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.301,136.839,338.9,1.2,1.1,2018-08-21,01:00,T,89,6.0NRT,297.9,43.1,D
-11.297,142.493,316.1,1.2,1.1,2018-08-21,01:00,T,63,6.0NRT,295.1,10.9,D
-11.298,142.504,352.3,1.2,1.1,2018-08-21,01:00,T,91,6.0NRT,294.9,80.1,D
-11.525,142.526,315.3,1.2,1.1,2018-08-21,01:00,T,63,6.0NRT,295.3,12.3,D
-11.526,142.52,311.5,1.2,1.1,2018-08-21,01:00,T,60,6.0NRT,293.4,9.3,D
-12.179,141.925,316.6,1.1,1.1,2018-08-21,01:00,T,53,6.0NRT,303.9,8.4,D
-12.452,142.002,319.2,1.2,1.1,2018-08-21,01:00,T,56,6.0NRT,302.5,9.4,D
-12.453,142.013,325.7,1.2,1.1,2018-08-21,01:00,T,73,6.0NRT,302.9,17,D
-12.455,142.024,328.3,1.2,1.1,2018-08-21,01:00,T,75,6.0NRT,303,20,D
-12.456,142.034,375.4,1.2,1.1,2018-08-21,01:00,T,100,6.0NRT,304,154.7,D
-12.829,142.96,328.9,1.3,1.1,2018-08-21,01:00,T,77,6.0NRT,298.9,35.1,D
-12.853,142.465,322,1.2,1.1,2018-08-21,01:00,T,75,6.0NRT,299.4,17,D
-11.457,132.583,313.2,2.5,1.5,2018-08-21,01:00,T,54,6.0NRT,294.1,24.9,D
-11.45,132.579,314.8,2.5,1.5,2018-08-21,01:00,T,59,6.0NRT,294.7,30.2,D
-12.909,141.816,320.5,1.1,1.1,2018-08-21,01:00,T,70,6.0NRT,301.5,12.6,D
-11.991,135.611,319.1,1.5,1.2,2018-08-21,01:00,T,24,6.0NRT,299.9,12.7,D
-12.926,141.802,317.5,1.1,1.1,2018-08-21,01:00,T,47,6.0NRT,301.6,9.4,D
-11.547,132.814,316.9,2.4,1.5,2018-08-21,01:00,T,67,6.0NRT,296.3,34.8,D
-11.556,132.79,311.4,2.4,1.5,2018-08-21,01:00,T,31,6.0NRT,295.7,17.2,D
-12.128,134.294,317.7,1.8,1.3,2018-08-21,01:00,T,63,6.0NRT,299.6,16.8,D
-13.443,143.072,314.1,1.4,1.2,2018-08-21,01:00,T,54,6.0NRT,296.8,10.3,D
-13.269,141.762,327,1.1,1.1,2018-08-21,01:00,T,75,6.0NRT,302.3,21.7,D
-13.267,141.751,320,1.1,1.1,2018-08-21,01:00,T,27,6.0NRT,302.9,11.7,D
-13.26,141.774,317.7,1.1,1.1,2018-08-21,01:00,T,31,6.0NRT,301.9,10.4,D
-12.448,136.538,316.9,1.3,1.1,2018-08-21,01:00,T,44,6.0NRT,297.1,11.1,D
-12.24,135.242,315.6,1.5,1.2,2018-08-21,01:00,T,51,6.0NRT,297.1,13.6,D
-13.204,141.681,313.6,1.1,1.1,2018-08-21,01:00,T,32,6.0NRT,301.5,6.4,D
-11.89,133.207,318.5,2.2,1.4,2018-08-21,01:00,T,67,6.0NRT,300.1,27.7,D
-13.192,141.8,320.3,1.1,1.1,2018-08-21,01:00,T,63,6.0NRT,300.3,13,D
-13.19,141.789,325,1.1,1.1,2018-08-21,01:00,T,78,6.0NRT,301.7,19.5,D
-11.723,132.77,314.6,2.4,1.5,2018-08-21,01:00,T,33,6.0NRT,297.4,21.7,D
-12.348,136.871,324.2,1.2,1.1,2018-08-21,01:00,T,71,6.0NRT,298.6,18.3,D
-12.346,136.86,320.6,1.2,1.1,2018-08-21,01:00,T,63,6.0NRT,299.8,13,D
-12.345,136.866,325.4,1.2,1.1,2018-08-21,01:00,T,65,6.0NRT,298.9,18.8,D
-12.957,141.609,318.1,1.1,1.1,2018-08-21,01:00,T,0,6.0NRT,302.4,6.7,D
-12.249,136.768,326,1.2,1.1,2018-08-21,01:00,T,52,6.0NRT,296.8,21.1,D
-12.255,136.801,320.5,1.2,1.1,2018-08-21,01:00,T,45,6.0NRT,300.1,12.4,D
-12.288,136.819,327.2,1.2,1.1,2018-08-21,01:00,T,53,6.0NRT,297.2,21.3,D
-12.291,136.841,344.3,1.2,1.1,2018-08-21,01:00,T,92,6.0NRT,296.8,55.1,D
-12.299,136.828,348,1.2,1.1,2018-08-21,01:00,T,94,6.0NRT,296.6,66.2,D
-15.749,136.219,322.7,1.2,1.1,2018-08-21,01:05,T,61,6.0NRT,307.2,12.3,D
-15.669,130.407,328.1,3,1.7,2018-08-21,01:05,T,81,6.0NRT,302.8,90.8,D
-16.738,136.633,327.3,1.1,1,2018-08-21,01:05,T,67,6.0NRT,306.5,16.9,D
-16.747,136.632,322.3,1.1,1,2018-08-21,01:05,T,49,6.0NRT,306.6,10.4,D
-15.668,130.401,325.8,3,1.7,2018-08-21,01:05,T,78,6.0NRT,302.2,79.4,D
-17.173,139.133,327,1,1,2018-08-21,01:05,T,78,6.0NRT,306,14.8,D
-17.234,139.175,319.7,1,1,2018-08-21,01:05,T,59,6.0NRT,304.1,8.6,D
-16.869,136.573,338.7,1.1,1,2018-08-21,01:05,T,88,6.0NRT,306.2,35.4,D
-16.88,136.582,325.8,1.1,1,2018-08-21,01:05,T,75,6.0NRT,304.3,15.4,D
-16.888,136.57,331.4,1.1,1,2018-08-21,01:05,T,82,6.0NRT,305.6,23.3,D
-16.894,136.548,329,1.1,1.1,2018-08-21,01:05,T,55,6.0NRT,307.6,17.5,D
-16.896,136.558,332.3,1.1,1.1,2018-08-21,01:05,T,73,6.0NRT,305.9,23.1,D
-16.909,136.55,324.1,1.1,1.1,2018-08-21,01:05,T,35,6.0NRT,306.5,12.4,D
-16.915,136.528,333.5,1.1,1.1,2018-08-21,01:05,T,84,6.0NRT,307.8,24.8,D
-16.917,136.538,346.4,1.1,1.1,2018-08-21,01:05,T,93,6.0NRT,308.4,50.7,D
-16.92,136.495,324,1.1,1.1,2018-08-21,01:05,T,72,6.0NRT,305.4,13.9,D
-16.921,136.506,329.3,1.1,1.1,2018-08-21,01:05,T,80,6.0NRT,306.7,20.3,D
-16.923,136.516,332.4,1.1,1.1,2018-08-21,01:05,T,83,6.0NRT,306.1,24.7,D
-17.678,141.054,318.2,1.2,1.1,2018-08-21,01:05,T,63,6.0NRT,307.1,7.9,D
-17.424,138.835,318.1,1,1,2018-08-21,01:05,T,63,6.0NRT,307.3,7.5,D
-15.753,128.321,317.6,4.3,1.9,2018-08-21,01:05,T,63,6.0NRT,302.7,65.5,D
-15.755,128.313,318.2,4.3,1.9,2018-08-21,01:05,T,68,6.0NRT,303.5,73,D
-16.525,131.146,322.1,2.6,1.5,2018-08-21,01:05,T,66,6.0NRT,306.5,39.9,D
-16.529,131.17,320.6,2.5,1.5,2018-08-21,01:05,T,59,6.0NRT,304,35.5,D
-16.535,131.163,327.4,2.5,1.5,2018-08-21,01:05,T,80,6.0NRT,305.2,65.3,D
-19.026,146.399,314.3,2.9,1.6,2018-08-21,01:05,T,0,6.0NRT,297.6,47.7,D
-19.563,146.224,311.6,2.8,1.6,2018-08-21,01:05,T,55,6.0NRT,300.6,20.5,D
-19.565,146.217,311.1,2.8,1.6,2018-08-21,01:05,T,59,6.0NRT,300.4,20.4,D
-26.235,126.271,309.6,3.5,1.8,2018-08-21,01:05,T,56,6.0NRT,297.3,31.8,D
-26.243,126.305,308.7,3.5,1.8,2018-08-21,01:05,T,52,6.0NRT,296.8,27.1,D
-30.612,147.764,307.1,4.8,2,2018-08-21,01:05,T,48,6.0NRT,294,56.8,D
-11.636,130.795,319.2,3.4,1.7,2018-08-21,01:05,T,68,6.0NRT,294.9,70.7,D
-12.648,135.685,320.9,1.4,1.2,2018-08-21,01:05,T,66,6.0NRT,299.9,16,D
-12.659,135.684,319.3,1.4,1.2,2018-08-21,01:05,T,54,6.0NRT,300.3,13,D
-12.799,136.361,317,1.3,1.1,2018-08-21,01:05,T,57,6.0NRT,300.2,9.3,D
-12.771,136.068,324.7,1.3,1.1,2018-08-21,01:05,T,52,6.0NRT,301.4,17.6,D
-12.779,136.054,326.1,1.3,1.1,2018-08-21,01:05,T,49,6.0NRT,300.6,19.9,D
-12.781,136.066,353.5,1.3,1.1,2018-08-21,01:05,T,97,6.0NRT,305.2,89.5,D
-12.792,136.064,372.1,1.3,1.1,2018-08-21,01:05,T,100,6.0NRT,304,171.3,D
-12.794,136.076,351.4,1.3,1.1,2018-08-21,01:05,T,96,6.0NRT,303.3,82.9,D
-12.777,135.775,318.3,1.4,1.2,2018-08-21,01:05,T,64,6.0NRT,297.4,11.8,D
-12.873,135.804,337.9,1.4,1.2,2018-08-21,01:05,T,88,6.0NRT,299.1,50.6,D
-12.875,135.817,327.5,1.4,1.2,2018-08-21,01:05,T,78,6.0NRT,296.8,27.5,D
