latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.627,145.784,327.5,1.2,1.1,2018-09-17,00:45,T,34,6.0NRT,301.2,23.7,D
-18.634,145.76,322.3,1.2,1.1,2018-09-17,00:45,T,59,6.0NRT,299.5,16.4,D
-18.636,145.771,324.8,1.2,1.1,2018-09-17,00:45,T,67,6.0NRT,302,20,D
-18.729,145.786,324.2,1.2,1.1,2018-09-17,00:45,T,41,6.0NRT,301.2,21,D
-17.762,138.964,321.3,1.4,1.2,2018-09-17,00:45,T,40,6.0NRT,309.5,9.5,D
-19.183,146.464,323.1,1.3,1.1,2018-09-17,00:45,T,32,6.0NRT,306,17,D
-19.204,146.461,342.2,1.3,1.1,2018-09-17,00:45,T,90,6.0NRT,307.1,58.5,D
-19.214,146.459,342.9,1.3,1.1,2018-09-17,00:45,T,90,6.0NRT,303.5,62.6,D
-19.222,146.465,318.1,1.3,1.2,2018-09-17,00:45,T,36,6.0NRT,304.6,11.9,D
-19.246,146.489,338.5,1.4,1.2,2018-09-17,00:45,T,87,6.0NRT,307.9,49,D
-19.248,146.501,321.3,1.4,1.2,2018-09-17,00:45,T,47,6.0NRT,304.7,14.2,D
-19.256,146.487,365.3,1.4,1.2,2018-09-17,00:45,T,100,6.0NRT,308.8,143.7,D
-19.258,146.5,330.7,1.4,1.2,2018-09-17,00:45,T,72,6.0NRT,309.1,31.2,D
-19.268,146.498,333.6,1.4,1.2,2018-09-17,00:45,T,75,6.0NRT,307.1,40,D
-19.279,146.495,332.6,1.4,1.2,2018-09-17,00:45,T,71,6.0NRT,301.8,37.5,D
-19.298,146.4,333.8,1.3,1.1,2018-09-17,00:45,T,83,6.0NRT,300.7,42.9,D
-19.308,146.399,339,1.3,1.1,2018-09-17,00:45,T,88,6.0NRT,300.7,53,D
-19.305,146.393,331.9,1.3,1.1,2018-09-17,00:45,T,82,6.0NRT,300.5,36.5,D
-19.306,146.406,329.7,1.3,1.1,2018-09-17,00:45,T,63,6.0NRT,301.3,30.6,D
-20.732,139.476,330.5,1.2,1.1,2018-09-17,00:45,T,74,6.0NRT,309.3,23.7,D
-20.806,133.562,315.6,3,1.7,2018-09-17,00:45,T,49,6.0NRT,299.9,29.2,D
-20.805,133.556,315.2,3,1.7,2018-09-17,00:45,T,47,6.0NRT,299.9,28.8,D
-20.852,133.636,323,3,1.6,2018-09-17,00:45,T,41,6.0NRT,299.8,56.8,D
-20.867,133.632,321.9,3,1.6,2018-09-17,00:45,T,36,6.0NRT,302.4,48.4,D
-20.904,133.587,319.6,3,1.7,2018-09-17,00:45,T,66,6.0NRT,298.9,48.3,D
-25.041,145.813,327,1.5,1.2,2018-09-17,00:45,T,78,6.0NRT,304.1,27.5,D
-25.348,148.678,321.1,2.3,1.5,2018-09-17,00:45,T,75,6.0NRT,296.5,53,D
-25.35,148.701,325.2,2.3,1.5,2018-09-17,00:45,T,79,6.0NRT,297.3,69.2,D
-10.906,142.324,325.5,1.1,1.1,2018-09-17,00:45,T,68,6.0NRT,302.4,17.1,D
-10.908,142.335,329.9,1.1,1.1,2018-09-17,00:45,T,78,6.0NRT,303.8,23.3,D
-10.911,142.328,348.7,1.1,1.1,2018-09-17,00:45,T,71,6.0NRT,304.5,61.6,D
-10.912,142.338,332.4,1.1,1.1,2018-09-17,00:45,T,64,6.0NRT,303.8,28.2,D
-11.29,142.552,322.5,1.1,1,2018-09-17,00:45,T,75,6.0NRT,302.1,14.5,D
-11.292,142.562,317.6,1.1,1,2018-09-17,00:45,T,57,6.0NRT,300.4,9.5,D
-11.309,142.326,327.8,1.1,1.1,2018-09-17,00:45,T,76,6.0NRT,303.5,16.6,D
-11.316,142.314,367.7,1.1,1.1,2018-09-17,00:45,T,100,6.0NRT,306.2,114.5,D
-11.318,142.324,343.5,1.1,1.1,2018-09-17,00:45,T,91,6.0NRT,305.1,43.2,D
-11.32,142.334,328.6,1.1,1.1,2018-09-17,00:45,T,68,6.0NRT,303,15.2,D
-11.346,142.32,328,1.1,1.1,2018-09-17,00:45,T,73,6.0NRT,302.8,15.8,D
-11.348,142.33,331.4,1.1,1.1,2018-09-17,00:45,T,79,6.0NRT,302.8,20.9,D
-11.348,142.266,328.5,1.1,1.1,2018-09-17,00:45,T,78,6.0NRT,304.8,15.3,D
-11.356,142.255,322.4,1.1,1.1,2018-09-17,00:45,T,61,6.0NRT,303.9,7.1,D
-11.359,142.247,322.1,1.1,1.1,2018-09-17,00:45,T,58,6.0NRT,304.7,6.3,D
-11.377,142.298,321.7,1.1,1.1,2018-09-17,00:45,T,56,6.0NRT,302.8,9.5,D
-11.378,142.308,319.5,1.1,1.1,2018-09-17,00:45,T,52,6.0NRT,302.9,7.3,D
-11.385,142.286,325.1,1.1,1.1,2018-09-17,00:45,T,21,6.0NRT,302.9,12,D
-11.38,142.191,320.2,1.1,1.1,2018-09-17,00:45,T,51,6.0NRT,303.4,6.9,D
-11.381,142.202,329.5,1.1,1.1,2018-09-17,00:45,T,79,6.0NRT,303.2,19,D
-11.389,142.253,324.6,1.1,1.1,2018-09-17,00:45,T,55,6.0NRT,303.1,12.2,D
-11.391,142.264,324.2,1.1,1.1,2018-09-17,00:45,T,52,6.0NRT,302.9,12.2,D
-11.474,142.391,332.9,1.1,1.1,2018-09-17,00:45,T,83,6.0NRT,304.7,22.9,D
-11.84,142.47,336.8,1.1,1,2018-09-17,00:45,T,86,6.0NRT,305.5,30,D
-11.893,142.342,327.5,1.1,1.1,2018-09-17,00:45,T,70,6.0NRT,305.2,14.8,D
-11.895,142.352,328.6,1.1,1.1,2018-09-17,00:45,T,48,6.0NRT,306.4,14.7,D
-11.903,142.341,327,1.1,1.1,2018-09-17,00:45,T,75,6.0NRT,304,14.2,D
-11.904,142.351,325.8,1.1,1.1,2018-09-17,00:45,T,45,6.0NRT,306.5,11.1,D
-11.915,142.359,335.2,1.1,1.1,2018-09-17,00:45,T,84,6.0NRT,306.5,24.5,D
-11.94,142.297,329.8,1.1,1.1,2018-09-17,00:45,T,77,6.0NRT,304.9,18.2,D
-11.947,142.285,343.1,1.1,1.1,2018-09-17,00:45,T,90,6.0NRT,304.7,40.3,D
-11.949,142.296,335.8,1.1,1.1,2018-09-17,00:45,T,85,6.0NRT,305.5,26.5,D
-11.96,142.304,325.1,1.1,1.1,2018-09-17,00:45,T,32,6.0NRT,306.4,10,D
-12.01,142.28,328.6,1.1,1.1,2018-09-17,00:45,T,77,6.0NRT,308,16.1,D
-12.019,142.279,327.5,1.1,1.1,2018-09-17,00:45,T,75,6.0NRT,307.4,14.7,D
-12.135,141.843,321.7,1.2,1.1,2018-09-17,00:45,T,64,6.0NRT,302.4,11.3,D
-12.137,141.854,323.7,1.2,1.1,2018-09-17,00:45,T,69,6.0NRT,303.4,14.3,D
-12.177,141.923,326.9,1.2,1.1,2018-09-17,00:45,T,0,6.0NRT,312.6,18.5,D
-12.368,141.902,323.9,1.2,1.1,2018-09-17,00:45,T,38,6.0NRT,308.2,9,D
-12.37,141.913,333.2,1.2,1.1,2018-09-17,00:45,T,77,6.0NRT,309.1,23.1,D
-12.485,142.308,367.5,1.1,1,2018-09-17,00:45,T,100,6.0NRT,310.5,109,D
-12.486,142.318,331.6,1.1,1,2018-09-17,00:45,T,76,6.0NRT,307.1,19.8,D
-12.456,141.751,324.7,1.2,1.1,2018-09-17,00:45,T,53,6.0NRT,304.3,14.3,D
-12.505,141.938,336.5,1.1,1.1,2018-09-17,00:45,T,85,6.0NRT,305.4,29.8,D
-12.508,141.932,328.4,1.1,1.1,2018-09-17,00:45,T,76,6.0NRT,306.6,16.7,D
-12.756,143.105,320.8,1,1,2018-09-17,00:45,T,57,6.0NRT,304.5,8.6,D
-12.747,142.03,324,1.1,1.1,2018-09-17,00:45,T,51,6.0NRT,307.6,10.6,D
-12.957,143.035,322.8,1,1,2018-09-17,00:45,T,61,6.0NRT,307.2,10.5,D
-12.959,141.807,328.8,1.1,1.1,2018-09-17,00:45,T,52,6.0NRT,306.1,17.7,D
-12.972,141.826,327.3,1.1,1.1,2018-09-17,00:45,T,49,6.0NRT,307.2,13.7,D
-12.998,141.992,327.7,1.1,1.1,2018-09-17,00:45,T,61,6.0NRT,310.4,9,D
-12.98,141.814,333.4,1.1,1.1,2018-09-17,00:45,T,71,6.0NRT,307.5,21.9,D
-12.99,141.812,347.4,1.1,1.1,2018-09-17,00:45,T,92,6.0NRT,307.7,51.2,D
-12.996,141.79,324.4,1.1,1.1,2018-09-17,00:45,T,25,6.0NRT,306.2,10,D
-12.997,141.8,337,1.1,1.1,2018-09-17,00:45,T,84,6.0NRT,306.3,29.2,D
-13.071,141.804,344.6,1.1,1.1,2018-09-17,00:45,T,90,6.0NRT,308.1,48.4,D
-13.072,141.815,333.3,1.1,1.1,2018-09-17,00:45,T,72,6.0NRT,307.6,24.6,D
-13.088,141.855,322.4,1.1,1.1,2018-09-17,00:45,T,35,6.0NRT,306.2,7.8,D
-13.096,141.843,333.5,1.1,1.1,2018-09-17,00:45,T,78,6.0NRT,307.1,21.8,D
-13.098,141.853,353,1.1,1.1,2018-09-17,00:45,T,96,6.0NRT,309.3,65.1,D
-13.1,141.864,328.6,1.1,1.1,2018-09-17,00:45,T,31,6.0NRT,307.8,15.7,D
-13.106,141.841,329.4,1.1,1.1,2018-09-17,00:45,T,67,6.0NRT,308.5,15.3,D
-13.114,141.829,333.6,1.1,1.1,2018-09-17,00:45,T,81,6.0NRT,307.7,22.6,D
-12.257,136.437,319.5,2.8,1.6,2018-09-17,00:45,T,51,6.0NRT,300.1,31.3,D
-12.259,136.429,319.6,2.8,1.6,2018-09-17,00:45,T,63,6.0NRT,300.6,35.3,D
-13.172,141.803,323.9,1.1,1.1,2018-09-17,00:45,T,37,6.0NRT,306.3,9.9,D
-13.177,141.77,336.3,1.1,1.1,2018-09-17,00:45,T,83,6.0NRT,306.8,30.2,D
-13.179,141.78,335.3,1.1,1.1,2018-09-17,00:45,T,82,6.0NRT,306.9,27.1,D
-13.22,141.859,320.7,1.1,1.1,2018-09-17,00:45,T,51,6.0NRT,306.9,9.1,D
-12.362,136.325,325.5,2.8,1.6,2018-09-17,00:45,T,0,6.0NRT,298.8,64.2,D
-12.393,135.384,319.9,3.3,1.7,2018-09-17,00:45,T,66,6.0NRT,301.8,44.3,D
-12.399,135.414,317.8,3.3,1.7,2018-09-17,00:45,T,61,6.0NRT,301.8,33.3,D
-12.394,135.407,321,3.3,1.7,2018-09-17,00:45,T,66,6.0NRT,302.3,47.6,D
-13.776,142.91,337.6,1,1,2018-09-17,00:45,T,82,6.0NRT,314.5,22.9,D
-13.787,142.918,328.3,1,1,2018-09-17,00:45,T,70,6.0NRT,312.5,7.3,D
-12.404,134.524,321.2,3.9,1.8,2018-09-17,00:45,T,69,6.0NRT,303.1,58.5,D
-13.819,142.942,343.6,1,1,2018-09-17,00:45,T,90,6.0NRT,311.9,33,D
-13.82,142.951,344.8,1,1,2018-09-17,00:45,T,91,6.0NRT,314.2,35.9,D
-12.409,134.516,319.8,3.9,1.8,2018-09-17,00:45,T,56,6.0NRT,303.6,44.3,D
-12.717,135.574,316.1,3.2,1.7,2018-09-17,00:45,T,52,6.0NRT,300.1,25,D
-12.732,135.571,317.6,3.2,1.7,2018-09-17,00:45,T,59,6.0NRT,300.3,32.2,D
-12.908,135.186,322.7,3.4,1.7,2018-09-17,00:45,T,71,6.0NRT,302.4,65.5,D
-13.108,136.136,316.6,2.8,1.6,2018-09-17,00:45,T,44,6.0NRT,299.6,21.9,D
-12.903,135.18,323.5,3.4,1.7,2018-09-17,00:45,T,67,6.0NRT,302.2,66.5,D
-14.622,141.827,331.4,1.1,1,2018-09-17,00:45,T,55,6.0NRT,312.9,15,D
-14.627,141.795,333.7,1.1,1,2018-09-17,00:45,T,78,6.0NRT,311.3,18.2,D
-14.629,141.805,332.1,1.1,1,2018-09-17,00:45,T,61,6.0NRT,313.2,15,D
-14.666,141.799,336.9,1.1,1,2018-09-17,00:45,T,82,6.0NRT,312.5,22.4,D
-14.677,141.87,336.7,1.1,1,2018-09-17,00:45,T,82,6.0NRT,311.5,23.2,D
-14.679,141.88,373.4,1.1,1,2018-09-17,00:45,T,100,6.0NRT,315.7,125.6,D
-15.144,145.008,331.8,1,1,2018-09-17,00:45,T,64,6.0NRT,304.1,22.2,D
-15.145,145.017,327,1,1,2018-09-17,00:45,T,27,6.0NRT,305.5,14.8,D
-15.153,145.006,325.5,1,1,2018-09-17,00:45,T,44,6.0NRT,305.1,14.1,D
-15.161,144.995,322.6,1,1,2018-09-17,00:45,T,32,6.0NRT,303.1,11.6,D
-15.162,145.005,339.7,1,1,2018-09-17,00:45,T,88,6.0NRT,304.4,35.4,D
-15.164,145.015,323.5,1,1,2018-09-17,00:45,T,29,6.0NRT,304.9,10.9,D
-15.209,145.081,322.7,1.1,1,2018-09-17,00:45,T,30,6.0NRT,303.2,11.7,D
-15.218,145.15,328.7,1.1,1,2018-09-17,00:45,T,77,6.0NRT,304.1,21.5,D
-15.22,145.159,318.7,1.1,1,2018-09-17,00:45,T,54,6.0NRT,300.9,9.5,D
-15.278,144.985,332.3,1,1,2018-09-17,00:45,T,81,6.0NRT,301.4,26.2,D
-15.279,144.995,322.5,1,1,2018-09-17,00:45,T,56,6.0NRT,300.7,13.4,D
-15.28,145.004,326.4,1,1,2018-09-17,00:45,T,70,6.0NRT,301.6,17.8,D
-15.287,144.984,326.3,1,1,2018-09-17,00:45,T,73,6.0NRT,303.1,18,D
-15.289,145.003,337.1,1,1,2018-09-17,00:45,T,85,6.0NRT,306.4,33.1,D
-15.291,145.013,328.6,1,1,2018-09-17,00:45,T,74,6.0NRT,302.9,20.1,D
-15.369,145.045,324.8,1.1,1,2018-09-17,00:45,T,53,6.0NRT,301.6,13.2,D
-15.371,145.065,327.1,1.1,1,2018-09-17,00:45,T,24,6.0NRT,302.7,13.7,D
-15.382,145.073,329,1.1,1,2018-09-17,00:45,T,71,6.0NRT,303.9,18.4,D
-15.387,145.043,340,1.1,1,2018-09-17,00:45,T,88,6.0NRT,304.6,34.3,D
-15.388,145.052,337.5,1.1,1,2018-09-17,00:45,T,86,6.0NRT,304.7,29.2,D
-15.591,144.921,351,1,1,2018-09-17,00:45,T,95,6.0NRT,305.9,58.3,D
-15.593,144.931,334.5,1,1,2018-09-17,00:45,T,82,6.0NRT,306.7,27,D
-15.6,144.92,339.6,1,1,2018-09-17,00:45,T,87,6.0NRT,304.1,34.1,D
-15.602,144.929,336.8,1,1,2018-09-17,00:45,T,81,6.0NRT,307.5,28.5,D
-15.604,144.949,336.5,1,1,2018-09-17,00:45,T,71,6.0NRT,307.1,27.2,D
-15.655,145.054,330.5,1.1,1,2018-09-17,00:45,T,78,6.0NRT,310.8,14.5,D
-15.656,145.064,333.1,1.1,1,2018-09-17,00:45,T,77,6.0NRT,310,18.1,D
-15.665,145.063,342.5,1.1,1,2018-09-17,00:45,T,90,6.0NRT,310,32.1,D
-15.267,141.823,336.3,1.1,1,2018-09-17,00:45,T,68,6.0NRT,311.9,23.1,D
-15.277,141.822,357.7,1.1,1,2018-09-17,00:45,T,98,6.0NRT,311,74.2,D
-15.278,141.832,326.3,1.1,1,2018-09-17,00:45,T,42,6.0NRT,311.6,10.5,D
-15.408,141.701,327.9,1.1,1,2018-09-17,00:45,T,55,6.0NRT,311.4,9.3,D
-16.728,145.373,338.3,1.1,1,2018-09-17,00:45,T,86,6.0NRT,306.3,36.4,D
-16.738,145.372,322.1,1.1,1,2018-09-17,00:45,T,57,6.0NRT,305.3,11.8,D
-16.746,145.36,327.6,1.1,1,2018-09-17,00:45,T,66,6.0NRT,304.9,17.2,D
-16.751,145.401,322.6,1.1,1.1,2018-09-17,00:45,T,31,6.0NRT,305.3,11.3,D
-16.753,145.412,326.6,1.1,1.1,2018-09-17,00:45,T,69,6.0NRT,304.2,17.8,D
-16.755,145.359,346.9,1.1,1,2018-09-17,00:45,T,92,6.0NRT,307.4,51.8,D
-16.756,145.369,327.3,1.1,1,2018-09-17,00:45,T,31,6.0NRT,305.8,15.4,D
-16.761,145.4,332,1.1,1.1,2018-09-17,00:45,T,73,6.0NRT,304.4,22.6,D
-16.766,145.368,340.2,1.1,1,2018-09-17,00:45,T,85,6.0NRT,307.6,35.9,D
-16.775,145.366,379.5,1.1,1,2018-09-17,00:45,T,94,6.0NRT,309.8,159.6,D
-16.777,145.377,333.7,1.1,1.1,2018-09-17,00:45,T,81,6.0NRT,310.6,21,D
-16.815,145.407,329.6,1.1,1.1,2018-09-17,00:45,T,43,6.0NRT,306.4,18,D
-16.821,145.385,327,1.1,1.1,2018-09-17,00:45,T,60,6.0NRT,307.9,14.1,D
-16.829,145.373,363.4,1.1,1.1,2018-09-17,00:45,T,87,6.0NRT,310.8,97.9,D
-16.831,145.384,333.2,1.1,1.1,2018-09-17,00:45,T,65,6.0NRT,309.2,24.6,D
-16.538,142.041,326.9,1,1,2018-09-17,00:45,T,49,6.0NRT,311.8,8.9,D
-16.578,142.008,343.7,1,1,2018-09-17,00:45,T,78,6.0NRT,314.7,34.5,D
-16.601,142.035,338,1,1,2018-09-17,00:45,T,53,6.0NRT,316.6,22,D
-16.602,142.044,372.3,1,1,2018-09-17,00:45,T,100,6.0NRT,319,112.9,D
-16.604,142.054,326.1,1,1,2018-09-17,00:45,T,44,6.0NRT,312.4,7.8,D
-17.135,145.745,330.4,1.2,1.1,2018-09-17,00:45,T,79,6.0NRT,300,27.8,D
-16.605,142.004,374,1,1,2018-09-17,00:45,T,100,6.0NRT,311.8,124.8,D
-16.607,142.014,387.1,1,1,2018-09-17,00:45,T,100,6.0NRT,318.1,181.2,D
-16.608,142.023,378.1,1,1,2018-09-17,00:45,T,100,6.0NRT,316,137.8,D
-16.61,142.033,344.1,1,1,2018-09-17,00:45,T,88,6.0NRT,309.8,35.5,D
-16.611,142.043,335,1,1,2018-09-17,00:45,T,74,6.0NRT,310.9,20,D
-15.63,135.84,378.5,2.7,1.6,2018-09-17,00:45,T,100,6.0NRT,309.2,569.1,D
-15.634,135.865,377.3,2.6,1.6,2018-09-17,00:45,T,100,6.0NRT,311.5,541.2,D
-15.638,135.889,348.2,2.6,1.6,2018-09-17,00:45,T,94,6.0NRT,308.5,188.9,D
-15.643,135.913,328,2.6,1.6,2018-09-17,00:45,T,63,6.0NRT,307.1,58.3,D
-15.647,135.937,323.6,2.6,1.6,2018-09-17,00:45,T,51,6.0NRT,306.8,38.6,D
-15.644,135.838,353.4,2.7,1.6,2018-09-17,00:45,T,96,6.0NRT,308.8,232.8,D
-15.648,135.862,344.1,2.6,1.6,2018-09-17,00:45,T,91,6.0NRT,310.5,149,D
-15.619,135.835,336.5,2.7,1.6,2018-09-17,00:45,T,86,6.0NRT,302.7,122.4,D
-15.624,135.86,348.7,2.6,1.6,2018-09-17,00:45,T,94,6.0NRT,305.7,206,D
-15.629,135.884,343.3,2.6,1.6,2018-09-17,00:45,T,89,6.0NRT,306.4,154.1,D
-15.633,135.833,360.8,2.7,1.6,2018-09-17,00:45,T,100,6.0NRT,306.8,316.3,D
-15.638,135.857,371.2,2.6,1.6,2018-09-17,00:45,T,100,6.0NRT,312.2,442.3,D
-15.643,135.881,350.7,2.6,1.6,2018-09-17,00:45,T,95,6.0NRT,310.6,200,D
-15.652,135.93,324.8,2.6,1.6,2018-09-17,00:45,T,44,6.0NRT,307.8,41.6,D
-15.674,136.048,323.5,2.5,1.5,2018-09-17,00:45,T,65,6.0NRT,308.7,35.3,D
-15.647,135.83,337.3,2.7,1.6,2018-09-17,00:45,T,74,6.0NRT,307.5,103.5,D
-15.652,135.854,335.8,2.6,1.6,2018-09-17,00:45,T,76,6.0NRT,309.8,91,D
-15.661,135.827,327.2,2.7,1.6,2018-09-17,00:45,T,74,6.0NRT,308.1,49,D
-15.666,135.852,328.8,2.6,1.6,2018-09-17,00:45,T,78,6.0NRT,309.5,55.3,D
-15.703,135.711,325.6,2.7,1.6,2018-09-17,00:45,T,66,6.0NRT,308.9,44.4,D
-16.053,136.821,323.3,2.2,1.4,2018-09-17,00:45,T,61,6.0NRT,307,27.2,D
-16.5,139.434,321,1.4,1.2,2018-09-17,00:45,T,73,6.0NRT,306.7,13.7,D
-16.07,136.69,323.8,2.2,1.5,2018-09-17,00:45,T,45,6.0NRT,307.6,30.1,D
-16.067,136.685,324.5,2.2,1.5,2018-09-17,00:45,T,65,6.0NRT,307.6,33.3,D
-16.095,136.18,321.8,2.4,1.5,2018-09-17,00:45,T,62,6.0NRT,309.8,26.1,D
-17.05,139.115,333.5,1.4,1.2,2018-09-17,00:45,T,0,6.0NRT,308.6,37.9,D
-17.052,139.129,320.7,1.4,1.2,2018-09-17,00:45,T,0,6.0NRT,307.8,12.1,D
-17.06,139.113,321.7,1.4,1.2,2018-09-17,00:45,T,35,6.0NRT,305.2,14.7,D
-17.062,139.127,321.2,1.4,1.2,2018-09-17,00:45,T,21,6.0NRT,307.2,14,D
-16.673,136.825,323.8,2.1,1.4,2018-09-17,00:45,T,69,6.0NRT,310,27.8,D
-16.676,136.844,321.2,2.1,1.4,2018-09-17,00:45,T,56,6.0NRT,310.4,19.4,D
-16.993,138.653,326.3,1.6,1.2,2018-09-17,00:45,T,54,6.0NRT,309.8,19.2,D
-18.073,145.213,323.8,1.1,1.1,2018-09-17,00:45,T,70,6.0NRT,310.5,14.5,D
-17.201,139.012,325.7,1.5,1.2,2018-09-17,00:45,T,68,6.0NRT,308.9,17,D
-17.204,139.025,330.6,1.5,1.2,2018-09-17,00:45,T,78,6.0NRT,308.6,26.7,D
-17.207,139.019,336.1,1.5,1.2,2018-09-17,00:45,T,83,6.0NRT,310.2,40.6,D
