latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.499,126.441,329.4,2.2,1.4,2018-10-20,01:25,T,70,6.0NRT,301.1,34.2,D
-14.493,126.414,331.6,2.2,1.4,2018-10-20,01:25,T,75,6.0NRT,302.4,40.3,D
-14.497,126.434,337.5,2.2,1.4,2018-10-20,01:25,T,83,6.0NRT,301.6,68.2,D
-14.526,126.45,339.8,2.2,1.4,2018-10-20,01:25,T,85,6.0NRT,302.2,81.7,D
-14.526,126.217,327.4,2.3,1.5,2018-10-20,01:25,T,59,6.0NRT,303.8,31.5,D
-14.568,126.463,328.2,2.2,1.4,2018-10-20,01:25,T,53,6.0NRT,300.5,31.1,D
-14.567,126.458,325.8,2.2,1.4,2018-10-20,01:25,T,30,6.0NRT,300.9,20.9,D
-16.332,137.5,347,1.6,1.3,2018-10-20,01:25,T,90,6.0NRT,310.3,75.9,D
-16.333,137.509,332.1,1.6,1.3,2018-10-20,01:25,T,54,6.0NRT,308.4,26.6,D
-15.115,132.989,346.7,1,1,2018-10-20,01:25,T,90,6.0NRT,303.6,37.6,D
-15.109,133.008,334.9,1,1,2018-10-20,01:25,T,75,6.0NRT,309.4,15.4,D
-15.108,132.999,358.4,1,1,2018-10-20,01:25,T,99,6.0NRT,312.5,63.1,D
-15.106,132.99,341.4,1,1,2018-10-20,01:25,T,85,6.0NRT,310.7,27.6,D
-15.105,132.981,339.5,1,1,2018-10-20,01:25,T,80,6.0NRT,310.2,24.4,D
-15.369,135.824,327.7,1.2,1.1,2018-10-20,01:25,T,39,6.0NRT,311.2,9.6,D
-15.359,135.825,343.7,1.2,1.1,2018-10-20,01:25,T,87,6.0NRT,314.2,42,D
-15.358,135.814,353.6,1.2,1.1,2018-10-20,01:25,T,95,6.0NRT,314.1,69.2,D
-16.146,143.686,320.7,4.7,2,2018-10-20,01:25,T,48,6.0NRT,294.2,77.9,D
-15.118,135.016,339.3,1.1,1.1,2018-10-20,01:25,T,64,6.0NRT,319.6,19.1,D
-15.006,134.934,337.1,1.1,1,2018-10-20,01:25,T,74,6.0NRT,317.9,18.5,D
-14.992,135.227,351.1,1.1,1.1,2018-10-20,01:25,T,93,6.0NRT,315.1,51.4,D
-14.991,135.217,358,1.1,1.1,2018-10-20,01:25,T,98,6.0NRT,316.1,69.3,D
-14.678,133.143,334,1,1,2018-10-20,01:25,T,74,6.0NRT,310.3,14,D
-13.234,130.473,325.5,1.2,1.1,2018-10-20,01:25,T,39,6.0NRT,299.2,13.7,D
-12.486,131.672,328.6,1.1,1,2018-10-20,01:25,T,36,6.0NRT,305.9,11.3,D
-12.475,131.663,332.2,1.1,1,2018-10-20,01:25,T,47,6.0NRT,308.6,15,D
-13.743,141.665,331.7,3.1,1.7,2018-10-20,01:25,T,83,6.0NRT,298.2,91.4,D
-13.728,141.667,325.4,3.1,1.7,2018-10-20,01:25,T,56,6.0NRT,297.7,52.2,D
-13.745,141.672,331.1,3.1,1.7,2018-10-20,01:25,T,84,6.0NRT,298.5,87.3,D
-13.73,141.673,326.7,3.1,1.7,2018-10-20,01:25,T,59,6.0NRT,298.3,58.7,D
-13.7,141.677,339.8,3.1,1.7,2018-10-20,01:25,T,90,6.0NRT,298,160.3,D
-16.331,137.493,337.4,1.6,1.3,2018-10-20,01:25,T,79,6.0NRT,310.7,40,D
-15.118,133.007,337.3,1,1,2018-10-20,01:25,T,76,6.0NRT,309.3,19.3,D
-15.124,132.921,335.4,1,1,2018-10-20,01:25,T,74,6.0NRT,307.9,16.5,D
-15.133,132.92,350,1,1,2018-10-20,01:25,T,93,6.0NRT,306.5,43,D
-15.143,132.928,326.8,1,1,2018-10-20,01:25,T,28,6.0NRT,304.7,7.2,D
-15.162,132.991,333.2,1,1,2018-10-20,01:25,T,60,6.0NRT,306.3,14.7,D
-15.176,132.963,334.1,1,1,2018-10-20,01:25,T,74,6.0NRT,306.3,17.4,D
-15.177,132.973,332.2,1,1,2018-10-20,01:25,T,70,6.0NRT,306.8,14.8,D
-15.179,132.982,326.6,1,1,2018-10-20,01:25,T,30,6.0NRT,306.7,7.5,D
-14.496,126.421,340.9,2.2,1.4,2018-10-20,01:25,T,86,6.0NRT,302.9,87.7,D
-13.688,141.707,332.2,3.1,1.7,2018-10-20,01:25,T,85,6.0NRT,297.5,104.7,D
-12.419,132.148,337.5,1,1,2018-10-20,01:25,T,53,6.0NRT,314.1,18.2,D
-12.986,136.211,334.6,1.2,1.1,2018-10-20,01:25,T,59,6.0NRT,309.5,19.5,D
-12.98,136.235,330.8,1.2,1.1,2018-10-20,01:25,T,37,6.0NRT,311.8,13.1,D
-12.977,136.212,349.9,1.2,1.1,2018-10-20,01:25,T,93,6.0NRT,313.6,54.2,D
-12.975,136.201,337.2,1.2,1.1,2018-10-20,01:25,T,71,6.0NRT,310.2,26,D
-12.351,131.891,332.9,1.1,1,2018-10-20,01:25,T,62,6.0NRT,310.1,18,D
-12.377,132.229,336.5,1,1,2018-10-20,01:25,T,69,6.0NRT,312.7,18.5,D
-12.37,132.181,336.5,1,1,2018-10-20,01:25,T,78,6.0NRT,311.6,17.9,D
-12.315,131.883,330.5,1.1,1,2018-10-20,01:25,T,64,6.0NRT,306.2,18.5,D
-12.347,132.155,336.7,1.1,1,2018-10-20,01:25,T,23,6.0NRT,313.6,20.9,D
-12.747,136.33,372.8,1.2,1.1,2018-10-20,01:25,T,100,6.0NRT,313.3,139.4,D
-12.746,136.319,373.4,1.2,1.1,2018-10-20,01:25,T,100,6.0NRT,313.4,143,D
-12.738,136.332,341.1,1.2,1.1,2018-10-20,01:25,T,86,6.0NRT,314.1,32.1,D
-13.522,142.965,322.9,3.9,1.8,2018-10-20,01:25,T,76,6.0NRT,294.8,78.5,D
-12.701,136.366,342.4,1.2,1.1,2018-10-20,01:25,T,87,6.0NRT,310.7,38.6,D
-13.516,142.973,319.7,3.9,1.8,2018-10-20,01:25,T,71,6.0NRT,294.3,53.2,D
-12.696,136.552,343.1,1.3,1.1,2018-10-20,01:25,T,87,6.0NRT,311.8,45.4,D
-12.694,136.541,345.6,1.3,1.1,2018-10-20,01:25,T,90,6.0NRT,310.5,51,D
-12.051,132.879,337.2,1,1,2018-10-20,01:25,T,68,6.0NRT,315.3,21.5,D
-12.491,136.396,331.6,1.2,1.1,2018-10-20,01:25,T,61,6.0NRT,306,18.3,D
-12.065,133.908,324,1,1,2018-10-20,01:25,T,38,6.0NRT,302,9,D
-12.059,133.928,326.8,1,1,2018-10-20,01:25,T,38,6.0NRT,303,10.1,D
