latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.139,141.035,354.5,2.2,1.5,2018-09-12,00:25,T,97,6.0NRT,301.1,201.2,D
-17.7,139.067,318.7,3.1,1.7,2018-09-12,00:25,T,60,6.0NRT,300.9,38.5,D
-13.049,141.86,315.8,2.3,1.5,2018-09-12,00:25,T,51,6.0NRT,294.8,25.7,D
-13.058,141.852,314.6,2.3,1.5,2018-09-12,00:25,T,46,6.0NRT,293.5,23,D
-14.269,143.308,315,1.7,1.3,2018-09-12,00:25,T,54,6.0NRT,298.9,11.2,D
-15.173,145.055,322,1.3,1.1,2018-09-12,00:25,T,47,6.0NRT,296.7,18.5,D
-15.237,143.932,326.5,1.5,1.2,2018-09-12,00:25,T,77,6.0NRT,298.9,28.5,D
-15.239,143.926,324.2,1.5,1.2,2018-09-12,00:25,T,73,6.0NRT,299.1,23.2,D
-15.242,143.94,316.9,1.5,1.2,2018-09-12,00:25,T,54,6.0NRT,299.2,9.7,D
-15.567,145.083,323.4,1.3,1.1,2018-09-12,00:25,T,26,6.0NRT,295.9,18.5,D
-15.574,144.998,320.3,1.3,1.1,2018-09-12,00:25,T,33,6.0NRT,297.7,13.6,D
-15.64,145.029,321.5,1.3,1.1,2018-09-12,00:25,T,69,6.0NRT,297.7,13.9,D
-15.305,141.607,319.2,2.2,1.4,2018-09-12,00:25,T,43,6.0NRT,299.3,20.9,D
-15.303,141.6,322.5,2.2,1.4,2018-09-12,00:25,T,62,6.0NRT,298.8,31.5,D
-16.029,144.331,324.7,1.4,1.2,2018-09-12,00:25,T,74,6.0NRT,304.6,18.4,D
-16.031,144.344,317.2,1.4,1.2,2018-09-12,00:25,T,54,6.0NRT,302.9,7,D
-17.093,141.001,334.3,2.3,1.5,2018-09-12,00:25,T,84,6.0NRT,301,79.2,D
-17.097,141.022,352.7,2.3,1.5,2018-09-12,00:25,T,96,6.0NRT,302.4,186.6,D
-17.102,140.977,364.1,2.3,1.5,2018-09-12,00:25,T,75,6.0NRT,301.6,291.4,D
-17.106,140.998,393.2,2.3,1.5,2018-09-12,00:25,T,100,6.0NRT,305.4,674.2,D
-17.11,141.019,376.5,2.3,1.5,2018-09-12,00:25,T,100,6.0NRT,303.8,419,D
-17.113,141.04,351.2,2.2,1.5,2018-09-12,00:25,T,95,6.0NRT,302.5,173.1,D
-17.119,140.996,340,2.3,1.5,2018-09-12,00:25,T,88,6.0NRT,296,111.9,D
-17.123,141.017,361.1,2.3,1.5,2018-09-12,00:25,T,100,6.0NRT,299.1,256.6,D
-17.126,141.038,353.1,2.2,1.5,2018-09-12,00:25,T,96,6.0NRT,301.9,188.1,D
-17.136,141.014,348.8,2.3,1.5,2018-09-12,00:25,T,94,6.0NRT,297.5,164.9,D
-17.112,140.969,339.8,2.3,1.5,2018-09-12,00:25,T,63,6.0NRT,295.4,110.6,D
-17.116,140.99,369.7,2.3,1.5,2018-09-12,00:25,T,100,6.0NRT,297.4,343.6,D
-17.12,141.011,353.2,2.3,1.5,2018-09-12,00:25,T,96,6.0NRT,298.8,190.9,D
-17.124,141.032,363.9,2.2,1.5,2018-09-12,00:25,T,100,6.0NRT,302.8,277.8,D
-17.133,141.009,321.8,2.3,1.5,2018-09-12,00:25,T,40,6.0NRT,296.4,32.3,D
-17.137,141.03,364,2.2,1.5,2018-09-12,00:25,T,100,6.0NRT,301.3,282.7,D
-17.232,138.149,323,3.7,1.8,2018-09-12,00:25,T,49,6.0NRT,297,79.8,D
-17.255,138.18,341,3.6,1.8,2018-09-12,00:25,T,89,6.0NRT,297.3,230.7,D
-17.246,138.174,323.6,3.6,1.8,2018-09-12,00:25,T,55,6.0NRT,296.2,82.5,D
-17.262,138.171,327.1,3.6,1.8,2018-09-12,00:25,T,56,6.0NRT,297,107.6,D
-17.269,138.204,323.8,3.6,1.8,2018-09-12,00:25,T,26,6.0NRT,296.9,80.4,D
-17.694,139.038,318.4,3.1,1.7,2018-09-12,00:25,T,59,6.0NRT,300.5,35.4,D
-12.016,142.357,314.4,2.2,1.5,2018-09-12,00:25,T,27,6.0NRT,290.7,22.2,D
-17.698,139.061,321.5,3.1,1.7,2018-09-12,00:25,T,67,6.0NRT,301.1,53.7,D
-28.55,151.908,320.5,2,1.4,2018-09-12,00:30,T,75,6.0NRT,290.8,43.8,D
-32.212,147.747,323.4,1.3,1.1,2018-09-12,00:30,T,79,6.0NRT,302,19.1,D
-32.334,147.666,314.9,1.2,1.1,2018-09-12,00:30,T,69,6.0NRT,301.9,7.7,D
-32.315,147.429,313.9,1.2,1.1,2018-09-12,00:30,T,58,6.0NRT,297.6,7.8,D
-32.317,147.442,319.1,1.2,1.1,2018-09-12,00:30,T,75,6.0NRT,299.7,14.2,D
-32.606,145.785,316.1,1.1,1,2018-09-12,00:30,T,70,6.0NRT,293.7,9.6,D
-32.608,145.796,312.8,1.1,1,2018-09-12,00:30,T,23,6.0NRT,295.9,6.9,D
-33.099,148.669,306.8,1.4,1.2,2018-09-12,00:30,T,60,6.0NRT,295.3,7.9,D
-32.965,145.982,332.4,1.1,1,2018-09-12,00:30,T,86,6.0NRT,300.2,29.2,D
-32.969,145.975,313.9,1.1,1,2018-09-12,00:30,T,68,6.0NRT,297.6,9.8,D
-28.531,150.462,324.4,1.6,1.3,2018-09-12,00:30,T,78,6.0NRT,299.8,29.2,D
-32.97,145.987,319.4,1.1,1,2018-09-12,00:30,T,75,6.0NRT,298.5,15.2,D
-36.507,149.635,327.7,1.8,1.3,2018-09-12,00:30,T,85,6.0NRT,292.7,58.5,D
-36.509,149.658,312.5,1.8,1.3,2018-09-12,00:30,T,60,6.0NRT,290,24.4,D
-37.947,145.075,302.3,1.1,1.1,2018-09-12,00:30,T,45,6.0NRT,288.9,2.5,D
-28.548,151.887,359.2,2,1.4,2018-09-12,00:30,T,99,6.0NRT,295.1,231.6,D
-27.769,150.462,314.8,1.6,1.2,2018-09-12,00:30,T,54,6.0NRT,297.1,16.6,D
-27.587,150.353,313,1.6,1.2,2018-09-12,00:30,T,55,6.0NRT,299.1,10.1,D
-27.585,150.338,313.3,1.6,1.2,2018-09-12,00:30,T,56,6.0NRT,298.8,10.8,D
-23.912,151.182,313.5,1.6,1.2,2018-09-12,00:30,T,44,6.0NRT,297.9,10.6,D
-20.734,139.473,321.3,2.5,1.5,2018-09-12,00:30,T,54,6.0NRT,308.4,27.2,D
-20.741,139.477,321,2.5,1.5,2018-09-12,00:30,T,45,6.0NRT,307.6,23.4,D
-30.018,149.39,317.2,1.5,1.2,2018-09-12,00:30,T,67,6.0NRT,301.3,11.8,D
-28.529,150.445,328.4,1.6,1.3,2018-09-12,00:30,T,82,6.0NRT,300.2,38.4,D
-32.081,147.336,336.1,1.2,1.1,2018-09-12,00:30,T,88,6.0NRT,302.6,37.5,D
-28.667,148.479,333.5,1.2,1.1,2018-09-12,00:30,T,83,6.0NRT,305.6,31.8,D
-28.547,151.893,357.6,2,1.4,2018-09-12,00:30,T,99,6.0NRT,294.4,217,D
-28.545,151.873,318.9,2,1.4,2018-09-12,00:30,T,73,6.0NRT,293.6,39.4,D
-30.323,147.988,319.5,1.2,1.1,2018-09-12,00:30,T,66,6.0NRT,306.7,8.8,D
-30.745,147.787,321.1,1.2,1.1,2018-09-12,00:30,T,70,6.0NRT,305.2,11.9,D
-30.747,147.8,324.4,1.2,1.1,2018-09-12,00:30,T,75,6.0NRT,305.1,16.1,D
-32.071,147.338,315.9,1.2,1.1,2018-09-12,00:30,T,69,6.0NRT,302.6,7.2,D
-28.677,148.477,322.5,1.2,1.1,2018-09-12,00:30,T,69,6.0NRT,304.5,14.2,D
-30.007,149.392,319.7,1.5,1.2,2018-09-12,00:30,T,71,6.0NRT,301,16.1,D
-16.365,179.569,326.7,1.2,1.1,2018-09-12,01:35,A,80,6.0NRT,301.1,20.1,D
-16.364,179.58,329.5,1.2,1.1,2018-09-12,01:35,A,82,6.0NRT,299.8,25.2,D
-17.51,177.904,325.8,1.6,1.2,2018-09-12,01:35,A,79,6.0NRT,297.1,28.1,D
-24.355,128.602,330.7,2.3,1.5,2018-09-12,02:05,T,81,6.0NRT,305.1,61.6,D
-11.326,132.37,314.6,2.9,1.6,2018-09-12,02:05,T,51,6.0NRT,300,20.7,D
-11.469,132.934,313.6,3.2,1.7,2018-09-12,02:05,T,30,6.0NRT,299,26,D
-10.612,125.988,311.3,1.1,1,2018-09-12,02:05,T,48,6.0NRT,297.4,4.7,D
-10.785,122.756,314.3,1.1,1,2018-09-12,02:05,T,61,6.0NRT,302.6,11.2,D
-10.786,122.766,313.1,1.1,1,2018-09-12,02:05,T,57,6.0NRT,301.1,10.1,D
-12.216,133.133,329.6,3.4,1.7,2018-09-12,02:05,T,79,6.0NRT,304.5,91.3,D
-12.225,133.07,325.8,3.4,1.7,2018-09-12,02:05,T,74,6.0NRT,305.6,71.6,D
-12.24,133.068,340.7,3.4,1.7,2018-09-12,02:05,T,89,6.0NRT,303.8,194.8,D
-12.244,133.099,328.1,3.4,1.7,2018-09-12,02:05,T,78,6.0NRT,303.7,85,D
-12.235,133.062,339.1,3.4,1.7,2018-09-12,02:05,T,88,6.0NRT,304.2,182.5,D
-12.239,133.093,334.1,3.4,1.7,2018-09-12,02:05,T,84,6.0NRT,303.7,134.2,D
-12.417,134.445,316.3,4.3,1.9,2018-09-12,02:05,T,34,6.0NRT,298.3,32.7,D
-12.482,134.558,326.7,4.4,1.9,2018-09-12,02:05,T,76,6.0NRT,298.6,112.8,D
-12.484,134.553,328.3,4.4,1.9,2018-09-12,02:05,T,78,6.0NRT,298.4,131.5,D
-12.681,132.833,325.2,3.3,1.7,2018-09-12,02:05,T,73,6.0NRT,305,62,D
-12.677,132.828,325.9,3.3,1.7,2018-09-12,02:05,T,73,6.0NRT,305.2,67.4,D
-12.722,132.415,324.5,3,1.7,2018-09-12,02:05,T,57,6.0NRT,306.9,48.4,D
-12.659,131.607,327.1,2.6,1.6,2018-09-12,02:05,T,47,6.0NRT,306.7,52.1,D
-12.673,131.605,334.4,2.6,1.6,2018-09-12,02:05,T,78,6.0NRT,308.1,89,D
-12.676,131.629,333.5,2.6,1.6,2018-09-12,02:05,T,79,6.0NRT,305.2,89.9,D
-12.637,131.189,325.4,2.4,1.5,2018-09-12,02:05,T,66,6.0NRT,309,33.9,D
-12.69,131.627,324.3,2.6,1.6,2018-09-12,02:05,T,54,6.0NRT,303.9,42.7,D
-13.551,134.129,321.5,4.2,1.9,2018-09-12,02:05,T,51,6.0NRT,305.4,66.6,D
-13.554,134.124,318.5,4.2,1.9,2018-09-12,02:05,T,18,6.0NRT,304.6,45.4,D
-13.934,134.025,323.9,4.2,1.9,2018-09-12,02:05,T,24,6.0NRT,304.9,59.5,D
-13.939,134.064,326.5,4.2,1.9,2018-09-12,02:05,T,44,6.0NRT,305.2,86.8,D
-13.92,134.021,323.9,4.2,1.9,2018-09-12,02:05,T,29,6.0NRT,306.8,65.6,D
-13.941,134.058,328.3,4.2,1.9,2018-09-12,02:05,T,62,6.0NRT,305.4,109.3,D
-13.954,134.018,338.6,4.2,1.9,2018-09-12,02:05,T,86,6.0NRT,304.1,221.8,D
-13.958,134.01,330.7,4.2,1.9,2018-09-12,02:05,T,78,6.0NRT,303.3,140,D
-13.961,134.049,324.5,4.2,1.9,2018-09-12,02:05,T,56,6.0NRT,305.9,86.8,D
-13.857,130.521,329.8,2.2,1.5,2018-09-12,02:05,T,65,6.0NRT,309.6,44.7,D
-13.867,130.499,327,2.2,1.4,2018-09-12,02:05,T,56,6.0NRT,307.8,34,D
-13.87,130.519,341.6,2.2,1.5,2018-09-12,02:05,T,88,6.0NRT,307.3,104.7,D
-13.868,130.514,346.8,2.2,1.5,2018-09-12,02:05,T,92,6.0NRT,308.5,132.7,D
-14.126,126.791,330.2,1.2,1.1,2018-09-12,02:05,T,45,6.0NRT,315.8,14.2,D
-14.303,127.282,345.1,1.3,1.1,2018-09-12,02:05,T,89,6.0NRT,317.5,51.7,D
-14.308,127.319,337.2,1.3,1.1,2018-09-12,02:05,T,69,6.0NRT,316.9,30.4,D
-14.336,127.216,347.3,1.3,1.1,2018-09-12,02:05,T,91,6.0NRT,316.7,57.2,D
-14.338,127.228,335.7,1.3,1.1,2018-09-12,02:05,T,59,6.0NRT,320.5,24.8,D
-13.936,123.296,341.2,1,1,2018-09-12,02:05,T,91,6.0NRT,297.9,42.5,D
-13.938,123.305,319,1,1,2018-09-12,02:05,T,71,6.0NRT,297.2,13.4,D
-14.678,125.826,337.1,1.1,1.1,2018-09-12,02:05,T,81,6.0NRT,307.9,28.6,D
-14.679,125.837,336.1,1.1,1.1,2018-09-12,02:05,T,74,6.0NRT,307.6,28.1,D
-14.755,125.788,325.9,1.1,1.1,2018-09-12,02:05,T,45,6.0NRT,308.7,13.1,D
-14.756,125.798,339.4,1.1,1.1,2018-09-12,02:05,T,85,6.0NRT,311,34.7,D
-14.789,125.825,334.4,1.1,1.1,2018-09-12,02:05,T,63,6.0NRT,312.7,23,D
-14.791,125.836,340.3,1.1,1.1,2018-09-12,02:05,T,86,6.0NRT,310.6,34.9,D
-14.799,125.824,338.8,1.1,1.1,2018-09-12,02:05,T,84,6.0NRT,310.2,31,D
-14.8,125.834,341.1,1.1,1.1,2018-09-12,02:05,T,86,6.0NRT,309.2,35.9,D
-15.135,126.867,331.1,1.3,1.1,2018-09-12,02:05,T,58,6.0NRT,313.2,18.9,D
-15.168,126.893,332.1,1.3,1.1,2018-09-12,02:05,T,51,6.0NRT,312.7,17.7,D
-15.239,126.956,337.9,1.3,1.1,2018-09-12,02:05,T,83,6.0NRT,313.4,29.8,D
-15.24,126.968,341.1,1.3,1.1,2018-09-12,02:05,T,86,6.0NRT,315.3,37.7,D
-15.235,126.781,333.2,1.3,1.1,2018-09-12,02:05,T,68,6.0NRT,315.2,21.3,D
-15.819,130.19,330.1,2.3,1.5,2018-09-12,02:05,T,57,6.0NRT,318.1,34.5,D
-15.832,130.189,333,2.3,1.5,2018-09-12,02:05,T,79,6.0NRT,315.7,46.3,D
-15.829,130.184,340.3,2.3,1.5,2018-09-12,02:05,T,87,6.0NRT,316.2,81.7,D
-15.868,130.054,340.1,2.2,1.4,2018-09-12,02:05,T,79,6.0NRT,317.3,77.4,D
-15.87,130.074,333.5,2.2,1.4,2018-09-12,02:05,T,57,6.0NRT,317.3,46.4,D
-15.876,130.011,325.3,2.2,1.4,2018-09-12,02:05,T,56,6.0NRT,314.8,25.4,D
-15.881,130.052,348.3,2.2,1.4,2018-09-12,02:05,T,93,6.0NRT,316.2,130.7,D
-16.858,128.432,329,1.7,1.3,2018-09-12,02:05,T,31,6.0NRT,317.5,17.4,D
-16.866,128.399,330.1,1.7,1.3,2018-09-12,02:05,T,56,6.0NRT,316.4,22,D
-16.878,128.397,337.6,1.7,1.3,2018-09-12,02:05,T,83,6.0NRT,316.3,44.4,D
-16.965,128.364,324.3,1.7,1.3,2018-09-12,02:05,T,52,6.0NRT,312.8,11.1,D
-17.019,128.448,332.9,1.7,1.3,2018-09-12,02:05,T,77,6.0NRT,316.4,33.3,D
-17.021,128.465,329.5,1.7,1.3,2018-09-12,02:05,T,62,6.0NRT,316.6,25.9,D
-17.269,128.249,335.5,1.7,1.3,2018-09-12,02:05,T,73,6.0NRT,310.8,47,D
-17.3,128.214,334.9,1.7,1.3,2018-09-12,02:05,T,28,6.0NRT,313.1,38.5,D
-21.465,118.039,329.2,1.4,1.2,2018-09-12,02:05,T,66,6.0NRT,306.4,25.6,D
-22.92,122.556,324.6,1,1,2018-09-12,02:05,T,68,6.0NRT,307,11.3,D
-23.006,122.515,328.8,1,1,2018-09-12,02:05,T,76,6.0NRT,308.1,16.9,D
-23.02,122.543,319.6,1,1,2018-09-12,02:05,T,41,6.0NRT,306.7,5.7,D
-23.821,128.934,331,2.3,1.5,2018-09-12,02:05,T,81,6.0NRT,304.9,57.3,D
-23.832,128.909,347,2.3,1.5,2018-09-12,02:05,T,93,6.0NRT,305.5,150.7,D
-23.835,128.932,328.1,2.3,1.5,2018-09-12,02:05,T,78,6.0NRT,304.5,46.7,D
-23.841,128.903,326.8,2.3,1.5,2018-09-12,02:05,T,75,6.0NRT,306.5,42.5,D
